pickup_date,total_trips,total_amount_sum,avg_trip_distance,avg_total_amount
2007-12-05,1,22.75,3.0,22.75
2008-12-31,1,80.94,18.12,80.94
2009-01-01,6,313.61,7.023333333333333,52.26833333333334
2024-12-31,21,589.1699999999998,3.6576190476190478,28.055714285714277
2025-01-01,90188,2291682.9999999087,6.431391648556265,25.41006564066072
2025-01-02,84832,2362624.58999988,3.684768012070891,27.850629361560262
2025-01-03,91250,2438794.469999959,6.001665643835655,26.72651473972558
2025-01-04,97804,2488944.139999905,3.236880291194617,25.448285755182866
2025-01-05,79624,2226058.629999901,3.8164066110719985,27.95713139254372
2025-01-06,80126,2213771.749999952,4.401789306841721,27.628631779945987
2025-01-07,100643,2589091.069999922,3.430626571147547,25.725495762247967
2025-01-08,113897,2848398.529999912,2.9018778369931413,25.00854745954601
2025-01-09,119285,3039258.8199999277,6.062763549482395,25.478969023766002
2025-01-10,111494,2884812.309999974,5.900666672646041,25.87414847435713
2025-01-11,121966,2904881.879999912,6.985649197317294,23.817144778052178
2025-01-12,102510,2636042.1499998746,8.684511559847817,25.71497561213418
2025-01-13,100492,2628218.5899999305,5.534596485292372,26.15351062771097
2025-01-14,121735,3079084.0099999737,6.578333264878677,25.29333396311639
2025-01-15,125359,3187032.509999923,6.298358394690412,25.423244521732965
2025-01-16,138711,3595777.1599999447,7.776745247312875,25.92279747100046
2025-01-17,120994,3116709.569999916,7.682105724250804,25.759207646659473
2025-01-18,119812,2792968.179999889,4.4889960104163125,23.31125580075359
2025-01-19,118232,2714089.609999839,7.01310685770352,22.95562631098044
2025-01-20,90094,3286658.2899998035,4.786531511532396,36.48032377294607
2025-01-21,117592,2981599.789999885,7.211344309136714,25.355464572418914
2025-01-22,127259,3128331.9499999247,10.25145993603602,24.582402423403646
2025-01-23,138136,3452987.1699999296,6.436583294724152,24.997011423524132
2025-01-24,129546,3234853.1499999454,6.320997715097429,24.97069110586159
2025-01-25,136816,3176920.4199999515,4.644129560870075,23.220386650683775
2025-01-26,102228,2614047.2599998675,6.410028074500162,25.5707561529118
2025-01-27,93060,2455714.73999994,4.521557167418869,26.388509993551903
2025-01-28,114002,2859088.7399998796,2.92329643339595,25.079285802002417
2025-01-29,120672,3040905.049999916,4.523277810925588,25.19975677870522
2025-01-30,133266,3412903.599999967,6.330537721549504,25.60970990350102
2025-01-31,133609,3323031.1199999293,6.643222687094578,24.871311962516966
2025-02-01,148650,3418671.6899999334,3.9095201479986033,22.99812774974728
2025-02-02,123646,3026328.2699998175,8.124711434255792,24.475747456446772
2025-02-03,98476,2583363.2399999285,4.614919777407778,26.233429871236936
2025-02-04,119863,2990820.0100000016,5.064199043908484,24.951986935084236
2025-02-05,128369,3263068.1399999107,2.8846528367441007,25.4194403633269
2025-02-06,126082,3188020.599999986,5.273521438428929,25.285295284021398
2025-02-07,138099,3425985.239999919,4.107749875089649,24.808182825363826
2025-02-08,146049,3420290.1799999205,8.59818122684851,23.418785339166448
2025-02-09,123431,3089840.1799997645,8.211973491262313,25.03293483808577
2025-02-10,108569,2863662.4199999585,5.740933876152532,26.3764280779961
2025-02-11,125526,3118275.6099999337,4.488891783375646,24.841671127893296
